项目名,卡片标题,年份,赛道与奖项,学生年级,主题标签,一句话钩子,用户是谁,解决的问题,AI怎么介入,学生可改造项目,6节课Demo目标,使用的AI能力,最终展示材料,课堂提问,想一想,项目小贴士,难度,社会影响分,技术难度分,信息完整度,来源链接,是否课堂展示,展示排序,封面图路径,封面图描述,封面图来源,封面图授权,封面图状态,封面图/视觉提示
EcoAction,用卫星和 AI 给城市找清凉绿地,2025,The Earth Prize 2025 Central & South America Regional Winner,中学生，13-19 岁参赛范围，团队年级未公开,城市热岛、卫星数据、环境公平,城市哪里最热、最缺树，AI 能不能帮社区先找到该种树的地方？,城市规划者、学校环保社团、社区居民,过热城市需要更多绿地，但热区、人口、树荫和土地条件分散在不同数据里，社区难以判断优先顺序。,公开资料显示项目用 AI、卫星和数据分析规划战略绿化，帮助城市降温。,校园热力地图、上学路线遮阴推荐、社区种树优先级仪表盘。,用校园地图、温度记录和绿化点位做出热区地图与种树优先级列表。,地理空间分析、卫星图像理解、热力图、数据可视化,地图仪表盘、优先级清单、绿化前后对比图、社区提案,AI 决定哪里先种树时，怎样避免忽略最需要帮助的人？,你每天经过的路上哪里最晒？如果要用数据证明这里需要树，你会收集什么证据？,不用一开始就接真实卫星 API。先用校园地图和温度调查做小模型，并把实测数据和 AI 推断分开标注。,高,5,5,中,https://www.theearthprize.org/regional-winners-2025；https://en.wikipedia.org/wiki/The_Earth_Prize,1,21,/images/cards/ecoaction.webp,EcoAction 官方团队图，展示 Earth Prize 区域获奖项目,The Earth Prize 官方区域获奖页图片：https://www.theearthprize.org/regional-winners-2025,官方公开项目图片，课堂引用；需避免商用传播,已确认,城市热力地图上出现红色高温街区，AI 标出优先种树和遮阴路线
营养小精灵互动餐厅,把挑食晚餐变成 AI 食育冒险,2026,同济大学设计创意学院 2026 毕业展儿童节专题作品，奖项未公开,高年级/初高中可改造，原作品为高校毕业展项目,"营养食育, AI辅助, 实时交互, RPG游戏化, 亲子陪伴",如果孩子不愿意尝试新食物，AI 能不能把一顿饭变成有营养小精灵陪伴的冒险？,挑食儿童、希望改善亲子用餐体验的家长、儿童餐厅或食育课程老师,儿童日常用餐常被家长管教和挑食冲突占据，孩子缺少主动探索健康饮食、尝试新食物的动机。,AI 根据孩子的食物选择、用餐进度和营养目标，生成营养小精灵角色反馈、任务剧情、鼓励话术和下一步尝试建议，配合实时交互把用餐变成游戏化冒险。,校园食堂营养任务卡、家庭早餐 AI 冒险助手、挑食儿童食物探索游戏、亲子健康饮食打卡器。,做出一个输入食物/偏好后，AI 生成角色鼓励、营养小知识和下一步任务的互动食育原型。,LLM剧情生成、个性化反馈、营养知识问答、实时交互、游戏化任务设计,互动餐桌/网页原型、营养小精灵角色卡、任务流程图、儿童用餐前后对比故事板,AI 是在替家长“管孩子吃饭”，还是在帮孩子理解身体真正需要什么？,如果你要让一个孩子愿意尝试一种不喜欢的食物，你会让 AI 设计什么角色、任务和奖励？,先选一个具体场景，比如早餐、蔬菜或喝水。不要直接做“大而全餐厅”，先跑通“食物输入-营养解释-角色鼓励-小任务反馈”的闭环。,中高,4,4,中,https://mp.weixin.qq.com/s/Sv5ITxvmuyggTFaa1JtewQ?from=industrynews&version=5.0.8.70666&platform=mac#rd,1,22,,暂缺营养小精灵互动餐厅真实项目截图,现有微信公众号来源未解析出对应作品封面图：https://mp.weixin.qq.com/s/Sv5ITxvmuyggTFaa1JtewQ,未使用图片；等待官方截图或授权素材,待补图,儿童餐桌上出现营养小精灵，餐盘变成冒险地图，AI 给出今日食物任务
Coniro / Yookie 情绪正念软糖,把情绪性进食变成 AI 正念陪伴,2026,同济大学设计创意学院毕业设计展；小红书线上毕业展，奖项未公开,高年级/初高中可改造，原作品为高校视觉传达毕业设计,"心理健康, 情绪性进食, IP设计, 正念, AI陪伴",当人想靠零食安慰情绪时，AI 能不能先陪你识别情绪，再给一个更温柔的替代动作？,有情绪性进食困扰的青少年、压力大的学生、希望用低门槛方式做情绪觉察的人,情绪低落、焦虑或空虚时，人们容易用进食来快速安慰自己，却很少有低门槛、非说教的方式帮助他们觉察情绪并替代行为。,原作主要是IP与产品设计；学生改造时可让 AI 根据用户选择的情绪软糖、当下心情和触发场景，生成正念引导、替代行为建议、情绪记录和温柔陪伴话术。,情绪零食替代助手、校园压力正念打卡器、AI 情绪糖果盒、考试周情绪陪伴小程序。,做出一个选择情绪后生成正念引导、替代动作和情绪记录卡的 AI 陪伴原型。,LLM情绪对话、正念引导生成、个性化建议、情绪分类、行为替代方案设计,AI聊天原型、六种情绪软糖角色卡、情绪记录页面、用户旅程海报,AI 做情绪陪伴时，怎样既温柔有用，又不把心理问题简单包装成“买一个产品”？,如果你要设计一颗“焦虑软糖”，它不应该鼓励用户多吃，而应该引导用户做哪一个小动作？,先选 3 种常见情绪，比如焦虑、孤独、愤怒。每种情绪都设计“识别一句话、正念一分钟、替代小动作、求助提醒”四步，不要让 AI 诊断心理疾病。,中,4,3,中,https://www.xiaohongshu.com/explore/6a0727ea000000000803177e?app_platform=ios&app_version=9.33.4&share_from_user_hidden=true&xsec_source=app_share&type=normal&xsec_token=CBFq8Sa0FrVQwEuRT97gPeMQYq85t1sOjfTQ7Co3R-Hrc=&author_share=1&xhsshare=CopyLink&shareRedId=N0gzQ0g9OT83OEdHOjg2SD45PDg6S0lN&apptime=1780973747&share_id=f80be50fe6014dd3aa9476bba5675d75,1,23,/images/cards/coniro-yookie.webp,Coniro / Yookie 小红书公开笔记图，展示情绪正念软糖与角色场景,小红书公开笔记图片：https://www.xiaohongshu.com/explore/6a0727ea000000000803177e,公开社媒图片，课堂引用；来源授权需二次确认,待确认,黄色兔子 Yookie、六盒彩色情绪软糖、手机里弹出温柔的正念引导卡片
口述需求小飞机游戏,让不会写字的孩子也能当游戏策划,2026,小红书 AI 亲子 / Codex 编程案例，奖项未公开,原案例为 5 岁儿童亲子共创；高年级/初中可独立改造,"AI编程, 亲子共创, 游戏设计, Vibe Coding, 需求迭代",如果孩子还不会写代码，AI 能不能把他说出来的想法变成一个能玩的小游戏？,想做第一个小游戏的孩子、亲子编程家庭、刚接触 AI 编程的学生,低龄孩子或编程新手有游戏想法，但不会写代码、不会完整表达产品需求，容易停留在“想玩”而不是“做出来”。,成人或学生把口述想法整理成需求，让 Codex 生成游戏原型，再根据试玩反馈逐轮加入头像目标、飞机升级、激光、保护罩等功能。,班级头像射击游戏、英语单词飞机大战、垃圾分类打靶游戏、数学题闯关飞行游戏。,做出一个可操作的浏览器小游戏，并完成三轮“试玩-提需求-让 AI 修改-再试玩”的迭代记录。,代码生成、需求整理、游戏原型开发、功能迭代、调试修复,可玩的小游戏链接、三版功能迭代截图、需求清单、试玩反馈记录,做 AI 编程项目时，为什么“会提需求、会试玩、会反馈”也算重要的创造能力？,如果你只能用嘴描述一个小游戏，你会先说出哪三个最核心的功能？哪些功能可以等试玩后再加？,先做最小可玩版本：角色能动、能得分、能失败。不要一开始就加很多装备，先让同学试玩，再把真实反馈变成下一轮 AI 修改需求。,中,3,3,中高,https://www.xiaohongshu.com/explore/6a261cfd0000000022020f32?xsec_token=ABDrMJJlg_OzSTlaKXTCMdvL8ehe1oFriVlW_hcuhkFGg=&xsec_source=pc_feed,1,24,/images/cards/plane-game-voice-prompt.webp,口述需求小飞机游戏小红书公开笔记图，展示孩子与 AI 生成游戏页面,小红书公开笔记图片：https://www.xiaohongshu.com/explore/6a261cfd0000000022020f32,公开社媒图片，课堂引用；来源授权需二次确认,待确认,孩子口述飞机和激光需求，屏幕上出现逐步升级的小飞机网页游戏
鸟你一下 BoopBirds,住在桌面和小窝里的数字小鸟,2026,同济大学设计创意学院设计师团队作品；小红书 AI Builder / Vibe Coding 展示，奖项未公开,高年级/初高中可改造，原作品为高校设计团队项目,"数字生命, 虚拟宠物, 桌面互动, AI硬件, Vibe Coding",如果电脑桌面里住着一只会吃垃圾文件的小鸟，它能不能让整理文件变得像养宠物一样好玩？,电脑文件杂乱的学生、喜欢虚拟宠物和桌面陪伴的用户、想做软硬件互动的创作者,桌面文件整理、数字陪伴和硬件互动通常很枯燥或割裂，用户缺少一个轻量、有趣、有生命感的日常互动入口。,原作重点是数字生命和软硬件交互；学生改造时可让 AI 根据桌面文件类型、用户互动和小鸟状态生成性格反馈、清理建议、成长剧情和伙伴互动事件。,桌面文件清理宠物、班级学习陪伴小精灵、可穿戴数字宠物、两台设备贴贴交换心情的小硬件。,做出一个桌面虚拟宠物原型：能被投喂文件/任务，状态会变化，并用 AI 生成小鸟反馈和成长记录。,LLM角色反馈、状态机设计、文件分类、个性化陪伴、软硬件交互原型,桌面宠物原型、便携小窝模型、互动流程视频、小鸟成长日志,怎样让一个 AI 宠物真的帮助用户行动，而不是只变成可爱的屏幕装饰？,如果你的电脑桌面有一只数字宠物，它吃什么会长大？它应该怎样提醒你整理文件或完成任务？,先做软件版：给宠物三个状态、三种投喂物和三句 AI 反馈。硬件小窝可以用纸板、Micro:bit 或手机界面模拟，先把互动逻辑跑通。,中高,3,4,中高,https://www.xiaohongshu.com/explore/6a22ac350000000035025836?app_platform=ios&app_version=9.33.4&share_from_user_hidden=true&xsec_source=app_share&type=normal&xsec_token=CBBzzobHFokPUCI8H488RGqsXQWVt-LVM193O8QU49uug=&author_share=1&xhsshare=CopyLink&shareRedId=N0gzQ0g9OT83OEdHOjg2SD45PDg6S0lN&apptime=1780973707&share_id=087e071ccb354a69964c674b57031720,1,25,/images/cards/boopbirds.webp,BoopBirds 小红书公开笔记图，展示桌面数字小鸟与硬件小窝,小红书公开笔记图片：https://www.xiaohongshu.com/explore/6a22ac350000000035025836,公开社媒图片，课堂引用；来源授权需二次确认,待确认,一只蓝色数字小鸟在电脑桌面吃掉垃圾文件，旁边有可随身携带的小窝硬件
你好！辣 切辣椒互动网页,把食物知识做成能切开的辣椒小游戏,2026（来源页面时间推断）,小红书 InAward 设计大赛 / 黑客松巅峰赛相关标签，奖项未公开,高年级/初高中可改造，原作者年级未公开,"Vibe Coding, 食物设计, 互动网页, 科普游戏, 无代码创作",如果辣椒不只是食材，而是一个能被切开、会喷火、会讲档案的网页小游戏呢？,想了解食物文化的学生、食品设计/科普活动参与者、没有代码背景但想做互动网页的创作者,食物知识和风味研究容易停留在文字介绍里，用户很难通过互动感受到不同辣椒的来源、用途和辣度差异。,作者提到在无代码背景下 vibe coding 出互动网页；学生改造时可让 AI 生成页面代码、辣椒资料卡、互动逻辑、视觉样式和调试建议。,水果甜度切开游戏、咖啡豆风味地图、家乡食材互动档案、校园食堂营养探索网页。,做出一个选择食材、点击/切开后显示档案和指标变化的互动网页，并记录从想法到可玩原型的迭代过程。,代码生成、交互网页开发、资料整理、视觉样式生成、调试修复,可玩的互动网页、食材资料卡、交互流程截图、vibe coding 迭代记录,为什么“切开辣椒看见辣度”比直接读一段介绍更容易让人记住食物知识？,如果你要把一种家乡食物做成互动网页，用户点击、拖动或切开它时，应该看到哪些有趣信息？,先选 5 个对象和 3 个指标，比如来源、风味、强度。第一版只需要能点击显示档案，第二版再加入动画、音效或小游戏分数。,中,3,3,中高,https://www.xiaohongshu.com/explore/69b174fe000000001b014c97?xsec_token=AB3LAxNupdgxAj9BncpQjjNh5VCZSI4y79eSUbcvnS2ow=&xsec_source=pc_search&source=web_note_detail_r10,1,26,/images/cards/chili-vibe-coding-game.webp,切辣椒互动网页截图，画面展示 Pepper X 档案、菜刀切开辣椒和辣椒列表,小红书笔记配图：https://www.xiaohongshu.com/explore/69b174fe000000001b014c97,小红书笔记公开配图，课堂引用；需避免商用传播,待确认,黄色背景的切辣椒互动网页，左侧是辣椒档案卡，右侧用刀切开辣椒并显示辣度喷火效果
AI Phillic,给学生配一个 AI 信息辨别训练场,2026,"IDEA X Challenge 2026 Outstanding Solution Prize，奖金 $10,000；R.E. Mountain Secondary 12 年级团队",高中可改造，原团队为 12 年级学生,"AI素养, 信息辨别, 批判性思维, 学习工具, K-12教育",如果每个学生在用 AI 前，都先过一遍“这是真的吗、有没有偏见”的训练关卡，会不会少交很多看似聪明但不可靠的作业？,K-12 学生、老师、需要判断 AI 生成内容和网络信息可信度的学习者,AI 生成内容和社交媒体信息越来越多，学生容易分不清来源、偏见和真实性，也缺少系统练习批判性思维的工具。,公开报道说明项目包含 learning hub 和 critical thinking scanner；可推断 AI/规则系统用于引导学生分析信息来源、偏见、证据充分性和学术诚信风险。,AI 作业可信度检查器、新闻偏见侦探、班级辩论证据卡、校园 AI 使用诚信助手。,做出一个输入文章/AI回答后给出可信度问题清单、偏见提示和改写建议的网页原型，并配一套学生练习任务。,文本分析、可信度提示、偏见识别、学习反馈生成、问答引导,可交互网页、信息判断评分规则、3个案例测试、项目路演视频或演示脚本,AI 帮你判断真假时，它自己的判断又应该怎样被验证？,找一段你最近看到的 AI 回答或短视频文案，哪些地方需要追问来源、证据和立场？,第一版不用追求自动判真假，先让 AI 生成 5 个好问题：来源是谁、证据在哪、有没有另一种解释、有没有利益相关、我还能查哪里。,中,5,3,高,https://sd35.bc.ca/idea-x-challenges-students-to-explore-ai-solutions.22609；https://x.com/LangleySchools/status/2064739439432114534,1,27,/images/cards/ai-phillic.webp,Langley School District 官方报道截图，展示 AI Phillic 的项目说明和获奖演示入口,官方学校报道页面截图：https://sd35.bc.ca/idea-x-challenges-students-to-explore-ai-solutions.22609,公开学校/赛事页面截图，课堂引用；来源授权需二次确认,待确认,学生团队围绕 AI 信息辨别做学习中心和 critical thinking scanner，页面里有官方报道段落与演示视频入口
Bookoli,用 AI 发现阅读困难学生的早期信号,2025,2025 NCWIT Aspirations in Computing High School Award National Awardee；创作者 April Surac 入选 40 名国家级获奖者,高中可改造，来源为高中生计算机奖项报道,"阅读障碍, 教育公平, AI筛查, 学习支持, 社会影响",如果 AI 能更早看见一个孩子读不懂，不是为了贴标签，而是为了把帮助提前送到他面前呢？,有阅读困难或疑似诵读困难的学生、老师、家长、学校学习支持团队,阅读困难常常被发现得太晚，老师和家长缺少轻量工具来识别风险、记录进展并连接后续支持。,公开报道说明 Bookoli 是 AI-powered platform，用来识别并支持有阅读挑战如 dyslexia 的学生；具体模型和评估方法未公开。,班级阅读陪跑助手、低龄英文词汇困难提醒器、中文朗读流畅度记录器、家长阅读支持报告生成器。,做出一个可上传朗读记录/阅读问卷的原型，AI 生成风险提示、练习建议和老师可读的支持摘要。,文本/语音记录分析、风险提示生成、个性化练习推荐、学习报告摘要,网页原型、样例学生报告、伦理说明、数据隐私说明、路演稿,AI 发现“可能有阅读困难”之后，怎样避免误伤学生自尊或泄露隐私？,如果你的工具不能做医学诊断，它还能怎样帮助老师更早发现需要支持的学生？,用“支持建议”而不是“诊断结论”作为输出；第一版只用模拟数据和家长/老师可理解的提示，避免收集真实敏感信息。,中高,5,4,高,https://spacecoastdaily.com/2025/03/april-surac-of-cocoa-named-national-awardee-of-ncwit-aspirations-in-computing-award/；https://www.aspirations.org/news/award-programs/ncwit-announces-2025-national-aic-high-school-award-recipients；https://x.com/Florida_Today/status/1914106916290121817,1,28,/images/cards/bookoli.webp,Space Coast Daily 报道截图，展示 April Surac 获奖照片和 Bookoli 项目介绍,公开新闻报道页面截图：https://spacecoastdaily.com/2025/03/april-surac-of-cocoa-named-national-awardee-of-ncwit-aspirations-in-computing-award/,公开新闻页面截图，课堂引用；来源授权需二次确认,待确认,学生获奖照片旁边是 Bookoli 项目介绍，重点突出 AI 帮助识别阅读困难和支持学校扩展
Heart in Gestures,让手语学习被摄像头看见并即时反馈,2025,Technovation Girls 2025 Grand Prize Winner，Senior Division；2025 Finalist Team,高中可改造，Technovation Senior Division,"手语学习, 计算机视觉, 无障碍教育, 语言文化, 公益科技",如果手机摄像头能看懂你的手势，学习乌克兰手语是不是可以像练口语一样得到即时反馈？,想学习乌克兰手语的儿童和成人、听障社群支持者、语言老师和志愿者,手语学习资源不够普及，学习者很难知道自己的手势是否准确，也缺少可反复练习的低门槛工具。,Technovation 官方结果页说明项目使用 computer vision gesture recognition，帮助儿童和成人学习 Ukrainian Sign Language。,校园常用手语练习器、地方方言手势词典、体育动作纠错助手、实验安全动作识别器。,用摄像头识别 5-10 个基础手势，给出“正确/再试一次”的反馈，并做一套学习关卡。,计算机视觉、手势识别、实时反馈、训练数据采集、学习路径设计,摄像头交互原型、手势数据卡、练习关卡、无障碍价值说明,一个手语识别工具怎样尊重真实社群语言，而不是把复杂文化简化成几个动作？,如果你只能识别 5 个动作，应该先选哪些最能帮助真实用户？,先用 Teachable Machine 或 MediaPipe 做小样本原型；邀请懂手语的人检查动作含义，不要只按网上图片照抄。,中高,5,4,高,https://technovationchallenge.org/results/2025-season/,1,29,/images/cards/heart-in-gestures.webp,Technovation 官方 2025 结果页截图，展示 Heart in Gestures 获得 Senior Division Grand Prize,Technovation 官方结果页截图：https://technovationchallenge.org/results/2025-season/,公开赛事页面截图，课堂引用；来源授权需二次确认,待确认,Technovation 结果页上的 Senior Division 获奖卡片，标题为 Heart in Gestures，描述 computer vision gesture recognition
Ambulink,把叫救护车变成可追踪的 AI 急救导航,2025,Technovation Girls 2025 Grand Prize Winner，Junior Division；2025 Finalist Team,初中可改造，Technovation Junior Division,"急救, 医疗导航, AI建议, 城市服务, 移动应用",如果打不到合适的救护车，AI 能不能先帮你判断去哪家医院、怎么做第一步急救？,突发健康事件中的患者和家属、需要快速联系救护车的人、社区急救志愿者,紧急情况下用户很难判断救护车是否可靠、到达时间、应该去哪里，以及等待期间能做哪些安全的第一步处理。,Technovation 官方结果页说明项目连接 verified ambulances，提供 real-time tracking、AI-powered first-aid tips 和 hospital recommendations。,校园急救导航、运动会伤情分流助手、社区 AED 地图、旅行应急医疗问答器。,做出一个模拟急救场景 App：选择症状后显示安全提示、附近资源和一条“下一步行动”建议。,问答分诊提示、位置/资源推荐、风险等级规则、实时状态展示、应急话术生成,App 原型、急救场景流程图、安全边界说明、医院/资源地图样例,AI 在医疗急救里能给建议到什么程度，什么时候必须明确要求用户找专业人员？,如果你为学校做急救助手，哪些情况只能显示“立即联系老师/校医/急救电话”，不能让 AI 自己判断？,把医学建议写得保守：第一版只做资源导航和安全提示，不做诊断；所有输出都加“紧急情况请立即联系当地急救服务”。,中高,5,4,高,https://technovationchallenge.org/results/2025-season/,1,30,/images/cards/ambulink.webp,Technovation 官方 2025 结果页截图，展示 Ambulink 获得 Junior Division Grand Prize,Technovation 官方结果页截图：https://technovationchallenge.org/results/2025-season/,公开赛事页面截图，课堂引用；来源授权需二次确认,待确认,Technovation 结果页上的 Junior Division 获奖卡片，描述救护车追踪、AI 急救提示和医院推荐
RiverStream,让社区一起上报水位，AI 提前预警洪水,2025,Technovation Girls 2025 Junior Regional Honoree: Latin America；2025 Special Award Winner,初中可改造，Technovation Junior Division,"气候适应, 洪水预警, 众包数据, AI预测, 公共安全",如果每个人都能上传身边的积水信息，AI 能不能提前告诉整个社区哪里快要危险？,洪水风险地区居民、学校社区、应急管理志愿者、地方政府和救援组织,洪水风险变化快，官方监测点有限，社区居民很难及时共享现场水位、道路阻断和风险变化。,Technovation 官方结果页说明 RiverStream 允许用户贡献 flood data，并用 AI 预测洪水、在风险上升时通知用户。,校园暴雨积水地图、社区热浪风险上报、河道水位志愿监测、台风避险路线助手。,做一个众包风险地图：用户提交位置和水位照片/描述，AI 生成风险等级和提醒文案。,时空数据整理、风险预测、图像/文本上报摘要、通知文案生成、地图可视化,风险地图原型、模拟上报数据、预警规则说明、社区应急海报,众包数据可能不准确，AI 预警系统怎样处理谣报、重复上报和缺失数据？,你所在城市最需要哪一种社区风险上报？水、热、空气、交通，还是校园安全？,先用模拟数据做地图，不要一开始追求真实预测模型；把“数据是否可信”和“谁来确认”设计进流程。,中高,5,4,高,https://technovationchallenge.org/results/2025-season/,1,31,/images/cards/riverstream.webp,Technovation 官方 2025 结果页截图，展示 RiverStream 区域荣誉和洪水预测项目介绍,Technovation 官方结果页截图：https://technovationchallenge.org/results/2025-season/,公开赛事页面截图，课堂引用；来源授权需二次确认,待确认,Technovation 结果页 Junior Division 区域荣誉卡片，包含 RiverStream Pitch Video 缩略图和 AI flood prediction 说明
LocIn AI,让 App 翻译保留品牌语气的 AI 本地化助手,2026,Product Hunt 2026-06-12 日榜热门项目,初中高年级 / 高中可改造,"文化保护, 多语言沟通, 产品本地化, AI翻译, 创业工具",同一句提示语翻成不同语言后，还能不能保留原来的语气和礼貌程度？,做 App、网站、社团工具或校园服务产品的学生团队、小型开发者和跨语言用户,传统翻译容易只翻字面意思，产品按钮、提示和帮助文案在不同语言里可能变得生硬、失去品牌语气，甚至造成误解。,公开 Product Hunt 描述和项目官网说明 LocIn AI 用 AI 处理应用本地化，在翻译时尽量保留产品语气、上下文和品牌表达。,校园活动双语通知助手、社团网页本地化检查器、国际班家校通知语气优化器、游戏界面多语言翻译小工具。,做一个小型“校园通知本地化台”：输入中文通知和目标语言，AI 输出正式版、亲切版和给低年级看的版本，并解释为什么这样翻。,机器翻译、语气改写、上下文理解、多版本生成、术语表约束,本地化前后对照页、术语表、语气选择器、错误案例卡片、产品原型演示,AI 翻译什么时候应该保留原文味道，什么时候应该主动改写成当地用户更容易理解的表达？,你所在学校有哪些内容最需要多语言版本？入学指南、社团招新、食堂菜单，还是比赛报名说明？,先限制在 2-3 种语言和 1 类场景，要求学生收集真实短句做测试，不要一开始追求全站翻译。,中高,4,4,高,https://www.producthunt.com/products/locin-ai；https://locin.dev,1,32,/images/cards/locin-ai.png,LocIn AI 官网首屏截图，展示 AI 产品本地化和保留品牌语气的核心主张,项目官网截图：https://locin.dev,公开项目官网截图，课堂引用；需避免商用传播,已确认,官网浅色首屏，标题为 AI that expands your product to global，并带 Product Hunt 徽标
Medicyn,把散乱病历变成私密健康档案的 AI 管家,2026,Product Hunt 2026-06-12 热门项目,高中可改造,"健康管理, 隐私保护, 医疗记录, 信息整理, AI助手",如果突发就医时记不清过敏史和用药，手机里的 AI 能不能帮你快速整理？,需要管理病历、处方、过敏史、检查报告的个人和家庭照护者,健康记录分散在照片、纸质报告、医院 App 和记忆里，紧急情况下很难快速找到关键信息，同时健康数据又高度敏感。,公开 Product Hunt 和官网描述 Medicyn 是私密、设备端优先的健康记录库，可整理病历、用药、过敏和报告；学生版可让 AI 从照片或文字中抽取关键信息并生成就医摘要。,家庭健康应急卡、运动队过敏信息管理、研学旅行用药提醒、老人就医问题清单生成器。,做一个本地模拟健康档案：上传虚构报告或手动输入信息，AI 提取过敏史、用药和最近检查，并生成一页应急摘要。,OCR识别、信息抽取、敏感信息脱敏、摘要生成、提醒规则,健康档案原型、隐私说明、模拟病历数据、应急摘要卡、家属/医生两种视图,健康数据能不能交给云端 AI？如果必须用 AI，哪些信息需要先脱敏或只在本地处理？,你会把哪些健康信息放进应急卡？哪些信息只应该自己或家人能看到？,课堂演示必须使用虚构样例，不收集同学真实病历；把“隐私边界”作为项目评分重点。,中高,5,4,中,https://www.producthunt.com/products/medicyn；https://medicyn.vercel.app；https://apps.apple.com/tr/app/medicyn/id6760617881,1,33,/images/cards/medicyn.png,Medicyn 官网 logo 图，代表私密健康记录库项目；完整产品界面仍需补充确认,项目官网图片：https://medicyn.vercel.app/assets/logo.png,公开项目官网图片，课堂引用；来源授权需二次确认,待确认,可后续替换为 App Store 或项目官网的真实健康记录界面截图
CueBuddy,让演讲提词跟着你的声音自动滚动,2026,Product Hunt 2026-06-12 热门项目,初中 / 高中可改造,"教育公平, 演讲训练, 语音识别, 视频表达, 学习工具",忘词、卡壳、语速太快时，提词器能不能像搭档一样听懂你、跟上你？,做口播、演讲、课程录制、社团宣传视频和比赛路演的学生与老师,普通提词器需要手动调速度，学生一紧张就容易和台词不同步，影响表达自然度。,公开 Product Hunt 与官网资料显示 CueBuddy 是语音跟随提词器；学生版可用语音识别判断当前读到哪一句，并给出停顿、语速和重读建议。,英语演讲陪练、班会主持提词器、短视频口播练习台、辩论稿计时和语速反馈工具。,做一个网页提词器：粘贴讲稿后开始录音，AI/语音识别定位当前句子，自动高亮并生成语速反馈。,语音识别、文本对齐、语速分析、表达反馈、自动高亮,提词器原型、演讲前后对比视频、语速反馈报告、不同场景讲稿模板,自动提词会不会让演讲更依赖屏幕？怎样设计才能帮助练习而不是替代表达能力？,你最想把它用在哪种场景：英文演讲、校园电视台、社团招新，还是项目路演？,先做离线讲稿和模拟语音文本对齐，再接入真实麦克风；用短稿测试比长稿更容易看到效果。,中,4,3,高,https://www.producthunt.com/products/cuebuddy；https://cuebuddy.cn,1,34,/images/cards/cuebuddy.png,CueBuddy 官网首屏截图，展示语音跟随提词器的手机界面和口播使用场景,项目官网截图：https://cuebuddy.cn,公开项目官网截图，课堂引用；需避免商用传播,已确认,手机画面中台词随声音移动，适合做演讲训练和短视频口播示例
Slack Data Agent / Basedash for Slack,在聊天群里直接问数据的 AI 社团分析员,2026,Product Hunt 2026-06-12 热门项目；Basedash 官方 2026-06-12 发布,高中可改造,"创业工具, 数据分析, 社团运营, AI问答, 仪表盘",不用打开表格和仪表盘，在社团群里问一句：本周报名人数为什么下降？,管理社团、竞赛报名、志愿服务、校园小店或学生项目数据的团队负责人,数据常常散在表格、后台和群聊里，非技术同学不一定会写公式或看仪表盘，导致运营决策依赖猜测。,公开 Product Hunt 与 Basedash 官方博客说明 Slack Data Agent 能在 Slack 中回答数据问题、查询连接的数据源并把结果和图表发回线程。,班级活动报名数据问答、校园义卖库存助手、社团成员活跃度分析、志愿时长统计机器人。,做一个“社团数据问答机器人”：连接一张 CSV 或表格，学生用自然语言提问，AI 返回数字、趋势解释和一张简单图表。,自然语言转查询、表格数据分析、图表生成、异常解释、群聊机器人,聊天式数据问答 Demo、样例数据表、图表截图、机器人回答规则、误答案例说明,AI 给出的数据答案如果错了，应该让用户看到原始表格、计算过程，还是只给结论？,你管理过哪些“看起来小但其实很难统计”的校园数据？,先用只读 CSV，限定 5-8 个问题类型；让机器人每次回答都附上引用列名或计算口径。,高,4,5,高,https://www.producthunt.com/products/basedash；https://www.basedash.com/blog/introducing-basedash-for-slack,1,35,/images/cards/slack-data-agent.png,Basedash 官方博客截图，展示 Basedash for Slack 发布页和数据问答产品介绍,项目官网/官方博客截图：https://www.basedash.com/blog/introducing-basedash-for-slack,公开项目官网截图，课堂引用；需避免商用传播,已确认,深色博客页，中心为 Basedash + Slack 产品发布图，适合表现群聊数据分析场景
